Feature Identification Number,Census Tract,Area in Square Miles,MENI Equity Need Tier,Percentile for MENI,EFC Designation,Total Households,Total Population,Total Low-Income Households,Percent Low-Income Households,Percentile for Low-Income Households,Total Zero-Vehicle Households,Percent Zero-Vehicle Households,Percentile for Zero-Vehicle Households,Total BIPOC Population,Percent BIPOC Population,Percentile for BIPOC Population,Percentile for Low-Income and Zero Vehicle Households,Percentile for Low-Income Households and BIPOC Population,LA County Subregional Boundaries,LA County Supervisorial Districts,City Name,Community Name,City/Community Name,Census Designated Place,Jurisdiction Type,Shape__Area,Shape__Length
739,06037267406,0.0830648,Low Need,32.4,Non-EFC,1024,1918,298,29.1,21.7,152,14.84,82.4,779,40.62,15.6,53.3,14.9,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,314126.11328125,2327.81103271953
740,06037293204,0.233613,High Need,61.2,EFC,1071,4260,460,42.95,49.4,108,10.08,68.6,3886,91.22,65,62,57.8,South Bay,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,879075.015625,4924.28331612053
741,06037125403,0.0650104,Low Need,34.5,Non-EFC,1330,2576,442,33.23,30.1,135,10.15,68.8,1201,46.62,20.1,50.3,21.6,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,246539.28125,2226.22254434026
742,06037602602,0.250663,Very High Need,81.8,EFC,1099,3067,728,66.24,88.5,77,7.01,53.8,2886,94.1,72.4,74.6,84.9,South Bay,2,Gardena, ,Gardena,Gardena,Incorporated City,944890.421875,3885.47606278584
743,06037236101,0.241613,Very High Need,99.3,EFC,1320,2628,1077,81.59,98.9,356,26.97,95.3,2586,98.4,88.7,98.2,97.6,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,913095.9453125,4254.18988631402
744,06037602302,0.752002,Very Low Need,9.2,Non-EFC,1736,4518,288,16.59,4.5,60,3.46,29.7,2197,48.63,21.6,13,9,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,2834689.17578125,8347.33214059189
745,06037406101,0.537109,Moderate Need,41.8,Non-EFC,1108,2905,484,43.68,50.9,36,3.25,27.9,2279,78.45,45.2,38.2,46.5,San Gabriel Valley,1,Covina, ,Covina,Covina,Incorporated City,2033409.25390625,6479.03299201545
746,06037270200,0.288934,Moderate Need,53.3,Non-EFC,1309,3590,562,42.93,49.3,140,10.7,70.9,2599,72.4,39.9,63.3,42.6,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1092402.41796875,5184.90303298816
747,06037189201,0.125766,High Need,64.5,EFC,1799,3088,1020,56.7,73.9,417,23.18,93.3,1034,33.48,9.8,86.4,39.6,Central Los Angeles,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,476277.83203125,2928.19046029808
748,06037700101,0.260002,Moderate Need,51.6,Non-EFC,3269,4944,1476,45.15,54.3,732,22.39,92.6,1148,23.22,3.3,76.7,25.8,Westside Cities,3,West Hollywood, ,West Hollywood,West Hollywood,Incorporated City,984380.46484375,5001.7424265907
749,06037620301,0.402552,Very Low Need,2.8,Non-EFC,1542,4403,213,13.81,2.3,39,2.53,21.2,896,20.35,2.3,8.2,0.7,South Bay,2,Manhattan Beach, ,Manhattan Beach,Manhattan Beach,Incorporated City,1517194.578125,5200.33849576146
750,06037553801,0.500761,High Need,60.3,EFC,1027,4575,535,52.09,66,10,0.97,8.1,4509,98.56,89.4,35.5,81.9,Gateway Cities,4,Paramount, ,Paramount,Paramount,Incorporated City,1887088.12109375,5817.54137402206
751,06037542700,0.382893,High Need,64.6,EFC,1380,5853,599,43.41,50.2,84,6.09,48.6,5816,99.37,94.6,50.2,75.9,Gateway Cities,2,Compton, ,Compton,Compton,Incorporated City,1443176.30078125,4915.53852587656
752,06037275200,0.178817,Moderate Need,51.7,Non-EFC,1677,3814,671,40.01,43.3,223,13.3,78.8,2646,69.38,37.7,64.2,38.5,Westside Cities,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,675473.296875,3870.62781018474
753,06037433307,0.167703,Moderate Need,53.4,Non-EFC,825,2858,348,42.18,48,25,3.03,26.1,2808,98.25,88.1,35.5,70.5,San Gabriel Valley,1,El Monte, ,El Monte,El Monte,Incorporated City,634569.56640625,4659.59553322328
754,06037533602,0.275019,High Need,72.6,EFC,1337,5490,881,65.89,88.1,35,2.62,22.2,5237,95.39,76.3,57.1,86.8,Gateway Cities,4,Bell, ,Bell,Bell,Incorporated City,1038431.16796875,5200.98556504727
755,06037540203,0.348417,High Need,75.3,EFC,1315,5931,791,60.15,79.5,50,3.8,32.5,5871,98.99,92.3,58.4,91,Gateway Cities,4,Lynwood, ,Lynwood,Lynwood,Incorporated City,1314047.76953125,4818.9082325663
756,06037195300,0.22423,Moderate Need,45.7,Non-EFC,1387,2798,566,40.81,45,178,12.83,77.4,1149,41.07,16.1,64.3,28.1,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,849077.95703125,4076.79288774865
757,06037480903,0.310601,High Need,66.4,EFC,1106,3181,534,48.28,59.8,100,9.04,64.8,2910,91.48,65.7,65.7,64.5,San Gabriel Valley,1,Alhambra, ,Alhambra,Alhambra,Incorporated City,1175430.5,4337.7430261323
758,06037192300,0.339214,Moderate Need,44.9,Non-EFC,1334,2428,526,39.43,42.3,220,16.49,85.1,943,38.84,14.1,66.7,24.8,Central Los Angeles,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1283895.35546875,4593.50127884285
759,06037224020,0.475937,Very High Need,97.8,EFC,895,2746,735,82.12,98.9,299,33.41,97.6,2611,95.08,74.9,99,92,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1799304.5390625,5596.94594551119
760,06037401203,0.73785,Very Low Need,19.2,Non-EFC,1577,5014,472,29.93,23.6,35,2.22,18.6,3215,64.12,33.4,17.3,25.4,San Gabriel Valley,5,Glendora, ,Glendora,Glendora,Incorporated City,2794812.7265625,6939.13798832255
761,06037122410,0.27314,Very High Need,83.9,EFC,1137,3471,780,68.6,91.1,109,9.59,67.3,3140,90.46,63.4,81.9,81.4,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1036838.33984375,4102.86857605999
762,06037111201,0.732612,Very Low Need,17.3,Non-EFC,1061,3459,243,22.9,11.4,52,4.9,41,2002,57.88,28.2,22.6,16.4,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,2785603.4765625,9276.65380505145
763,06037432602,0.414721,Moderate Need,58.7,Non-EFC,1126,4535,524,46.54,56.4,39,3.46,30,4398,96.98,82.3,42.6,72,San Gabriel Valley,1,El Monte, ,El Monte,El Monte,Incorporated City,1569743.66796875,5432.4777646182
764,06037211701,0.251222,Moderate Need,55.5,Non-EFC,1152,2566,515,44.7,53.4,121,10.5,70.3,1805,70.34,38.5,65.1,44.3,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,950530.77734375,3880.67200075368
765,06037204910,0.198676,Very High Need,96.1,EFC,968,3494,685,70.76,93.8,223,23.04,93.2,3373,96.54,80.3,95.4,92.2,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,751008.49609375,3542.43734715021
766,06037197500,0.247618,Moderate Need,43.9,Non-EFC,1711,3884,557,32.55,28.5,299,17.48,87,2506,64.52,33.7,60.8,28.4,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,937062.9609375,3834.50372450609
767,06037910815,182.01,Very Low Need,16.4,Non-EFC,1752,5177,588,33.56,30.7,42,2.4,20.3,1559,30.11,7.6,21.7,15.4,North Los Angeles County,5, ,Antelope Valley,Antelope Valley,,Unincorporated Area,694710056.980469,170049.910636927
768,06037231603,0.123497,Very High Need,90.7,EFC,828,2782,513,61.96,82.1,179,21.62,92.1,2697,96.94,82.2,89.5,86.7,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,466634.01953125,2898.62228818543
769,06037402504,0.231724,Very High Need,96.9,EFC,750,2739,586,78.13,98.1,112,14.93,82.7,2679,97.81,86.1,92.7,96.7,San Gabriel Valley,1,Pomona, ,Pomona,Pomona,Incorporated City,876394.16796875,3899.58206252448
770,06037217102,0.193313,Moderate Need,53.4,Non-EFC,1273,2658,556,43.68,50.8,214,16.81,85.8,1313,49.4,22.2,71.8,34.2,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,731180.19140625,3497.75183846603
771,06037217101,0.153344,Low Need,34.8,Non-EFC,908,2964,310,34.14,31.8,40,4.41,37,2511,84.72,53,32,40.3,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,579943.609375,3443.21769843538
772,06037404805,0.174392,Very High Need,81.8,EFC,737,3074,410,55.63,72.1,84,11.4,73.2,3004,97.72,85.7,76.2,83.3,San Gabriel Valley,1,Baldwin Park, ,Baldwin Park,Baldwin Park,Incorporated City,660075.5078125,3225.71449066612
773,06037400801,1.38234,Very Low Need,14.2,Non-EFC,1852,6825,569,30.72,24.8,16,0.86,7.1,3706,54.3,25.7,12,21.6,San Gabriel Valley,5,Glendora, ,Glendora,Glendora,Incorporated City,5239020.4921875,9749.91898679729
774,06037143402,0.250256,Very Low Need,9.3,Non-EFC,812,1973,243,29.93,23.6,12,1.48,12.3,309,15.66,0.9,14.1,8.1,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,948847.11328125,3902.67953111042
775,06037402503,0.338545,High Need,61.7,EFC,1079,4167,579,53.66,68.8,26,2.41,20.4,3983,95.58,76.7,44,76.3,San Gabriel Valley,1,Pomona, ,Pomona,Pomona,Incorporated City,1280408.26171875,4715.95724276029
776,06037242201,0.158172,Very High Need,98.4,EFC,1006,4012,721,71.67,94.7,177,17.59,87.1,4006,99.85,98.3,93.3,99.2,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,596866.671875,3115.47738720572
777,06037406300,2.08285,Low Need,23.1,Non-EFC,1797,5964,542,30.16,24,41,2.28,19.4,4666,78.24,44.7,17.7,31.8,San Gabriel Valley,1,West Covina, ,West Covina,West Covina,Incorporated City,7879835.3125,12468.8368943715
778,06037408004,0.242571,Low Need,33.8,Non-EFC,804,2521,238,29.6,23,27,3.36,28.9,2410,95.6,76.8,22.2,48.8,San Gabriel Valley,1,West Covina, ,West Covina,West Covina,Incorporated City,917213.12890625,4333.07682283615
779,06037113323,0.278825,Low Need,27.2,Non-EFC,1511,4029,613,40.57,44.5,15,0.99,8.3,2472,61.36,30.8,22.8,35.3,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1059641.6875,4065.32179232065
780,06037127603,0.167281,High Need,68.5,EFC,932,2855,547,58.69,76.7,65,6.97,53.6,2397,83.96,52,68.4,66.4,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,634866.2421875,3582.91788037283
781,06037113101,0.875135,Very Low Need,12,Non-EFC,1150,3590,296,25.74,15.8,37,3.22,27.5,1385,38.58,13.6,17.7,11,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,3326715.91796875,7874.58827915748
782,06037127104,0.274946,High Need,66.5,EFC,1377,4183,806,58.53,76.4,119,8.64,62.5,2883,68.92,37.3,73.2,57.3,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1043711.99609375,4157.44991953289
783,06037554406,0.424799,Moderate Need,53.9,Non-EFC,1464,4206,651,44.47,52.8,134,9.15,65.4,3006,71.47,39.5,62.3,44.4,Gateway Cities,4,Bellflower, ,Bellflower,Bellflower,Incorporated City,1600083.01171875,5820.0890785478
784,06037209401,0.0833435,Very High Need,96.2,EFC,1555,4018,1211,77.88,98,735,47.27,99.3,3738,93.03,69.8,99.2,88.5,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,315277.8515625,2346.86797695359
785,06037265601,0.242436,Low Need,30.7,Non-EFC,1443,3480,521,36.11,35.6,117,8.11,60.1,851,24.45,4.3,48.3,16.5,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,917086.53125,4178.95598364726
786,06037102103,0.459565,Moderate Need,53.2,Non-EFC,711,1920,377,53.02,68,72,10.13,68.7,480,25,4.5,71.9,33.8,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1745351.3515625,5972.69351847559
787,06037600911,0.261371,High Need,64.3,EFC,1086,3577,519,47.79,58.8,87,8.01,59.8,3243,90.66,63.8,62.4,62.6,South Bay,2,Inglewood, ,Inglewood,Inglewood,Incorporated City,986934.30078125,4108.82832416191
788,06037601301,0.237478,High Need,62.6,EFC,733,1728,331,45.16,54.3,76,10.37,69.7,1501,86.86,56.6,65.3,56,South Bay,2,Inglewood, ,Inglewood,Inglewood,Incorporated City,896724.9765625,4042.02760884481
789,06037407001,0.385295,Moderate Need,43.7,Non-EFC,1255,5974,472,37.61,38.4,29,2.31,19.6,5832,97.62,85.1,25.6,63.2,San Gabriel Valley,1, ,West Puente Valley,West Puente Valley,West Puente Valley,Unincorporated Area,1457659.375,5178.77990352991
790,06037241110,0.187884,High Need,78.4,EFC,802,3648,443,55.24,71.5,55,6.86,53,3633,99.59,96.6,65.6,88.7,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,708752.44140625,3877.73089967956
791,06037294301,0.278539,Moderate Need,42.5,Non-EFC,683,2709,246,36.02,35.4,24,3.51,30.2,2570,94.87,74.2,30.6,55.1,South Bay,4,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1047272.9765625,4284.18801620724
792,06037531504,0.193548,High Need,78.8,EFC,954,4158,467,48.95,60.7,116,12.16,75.5,4149,99.78,97.8,71.5,83.5,Central Los Angeles,1, ,East Los Angeles,East Los Angeles,East Los Angeles,Unincorporated Area,731679.5,3948.59892663149
793,06037240020,0.27945,Very High Need,81,EFC,1248,5321,711,56.97,74.2,89,7.13,54.8,5303,99.66,97.1,67.8,90.5,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1054597.56640625,4675.74441189788
794,06037535702,0.376543,High Need,71,EFC,1426,5854,725,50.84,64,104,7.29,56,5691,97.22,83.4,63.2,77.2,Gateway Cities,4,South Gate, ,South Gate,South Gate,Incorporated City,1421012.29296875,4972.90356358818
795,06037232110,0.146686,Very High Need,97.9,EFC,816,2920,573,70.22,93,146,17.89,87.6,2912,99.73,97.4,92.5,98.7,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,554152.96875,3237.77415686968
796,06037541605,0.336553,Very High Need,84.7,EFC,1404,5069,962,68.52,91,63,4.49,38,5033,99.29,94,67.8,97,Gateway Cities,2,Compton, ,Compton,Compton,Incorporated City,1268474.17578125,5108.79541917053
797,06037533701,0.154524,Very High Need,88.9,EFC,862,3082,542,62.88,83.7,107,12.41,76.4,3024,98.12,87.4,82.7,90.4,Gateway Cities,4,Maywood, ,Maywood,Maywood,Incorporated City,583618.65625,3048.69810432778
798,06037900608,0.515797,Moderate Need,47.3,Non-EFC,1103,3738,551,49.95,62.3,21,1.9,15.7,3102,82.99,50.4,37.6,56.9,North Los Angeles County,5,Lancaster, ,Lancaster,Lancaster,Incorporated City,1980971.37109375,5965.53235717413
799,06037602505,0.124993,Very High Need,80.5,EFC,1516,4259,898,59.23,78.1,160,10.55,70.3,4039,94.83,74.1,77.2,80.3,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,471167.5,2911.84114270999
800,06037600602,0.266982,Very High Need,89.8,EFC,704,2795,418,59.38,78.3,168,23.86,93.7,2724,97.46,84.6,88.4,86,South Bay,2,Inglewood, ,Inglewood,Inglewood,Incorporated City,1007250.72265625,3993.36003131526
801,06037533002,0.110972,Very High Need,84.6,EFC,587,2636,412,70.19,93,23,3.92,33.2,2626,99.62,96.8,66.3,98.3,Gateway Cities,2, ,Florence - Firestone,Florence - Firestone,Florence-Graham,Unincorporated Area,419015.49609375,2788.00431536419
802,06037301601,0.869099,High Need,71,EFC,2317,5657,1486,64.13,85.6,681,29.39,96.4,2055,36.33,11.6,93.4,46.8,Arroyo Verdugo,5,Glendale, ,Glendale,Glendale,Incorporated City,3295992.97265625,9597.94034020155
803,06037297110,0.188195,Very High Need,87.7,EFC,1560,4693,1100,70.51,93.5,360,23.08,93.3,3913,83.38,51,95.3,75.7,South Bay,4,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,706611.5078125,3362.7498620193
804,06037407102,0.356078,Moderate Need,48.8,Non-EFC,1344,5697,555,41.29,46.1,25,1.86,15.5,5605,98.39,88.7,27.9,69.7,San Gabriel Valley,1,La Puente, ,La Puente,La Puente,Incorporated City,1346589.125,5354.32684479898
805,06037462800,0.437616,Low Need,27.7,Non-EFC,1057,2854,300,28.38,20,77,7.28,55.9,1759,61.63,31.3,36.6,22.2,Arroyo Verdugo,5,Pasadena, ,Pasadena,Pasadena,Incorporated City,1659150.5390625,5523.78164778289
806,06037213100,0.207388,Very High Need,89.5,EFC,1043,3089,727,69.7,92.3,112,10.74,71.3,2958,95.76,77.2,84.6,89.5,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,784410.44140625,3862.28990826368
807,06037302103,0.212702,Moderate Need,59.8,Non-EFC,1874,5242,1015,54.16,69.7,299,15.96,84.4,1573,30.01,7.5,79.9,36.4,Arroyo Verdugo,5,Glendale, ,Glendale,Glendale,Incorporated City,806243.6171875,3524.99477574885
808,06037301000,0.807923,Low Need,26.6,Non-EFC,2096,5408,727,34.69,32.7,112,5.34,44.1,2097,38.78,14.1,36.9,20,Arroyo Verdugo,5,Glendale, ,Glendale,Glendale,Incorporated City,3063452.48046875,7686.134365116
809,06037124300,0.344016,High Need,69.7,EFC,1173,2892,764,65.13,87,85,7.25,55.5,1959,67.74,36.1,74.8,62.9,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1305002.59765625,4631.86935923287
810,06037401102,0.500029,Low Need,29.2,Non-EFC,1258,4037,455,36.17,35.9,46,3.66,31.1,2493,61.75,31.4,31.1,31,San Gabriel Valley,5,Glendora, ,Glendora,Glendora,Incorporated City,1894841.48828125,5794.48173018262
811,06037134710,0.220293,High Need,78.1,EFC,1629,5398,1003,61.57,81.5,223,13.69,79.9,4630,85.77,54.7,83.3,70.6,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,836233.91796875,3670.43032994776
812,06037530006,0.254125,Moderate Need,46.3,Non-EFC,1617,4767,650,40.2,43.6,97,6,48,4082,85.63,54.4,45.9,47.4,Gateway Cities,1,Montebello, ,Montebello,Montebello,Incorporated City,960512.5390625,4867.49765256539
813,06037482201,0.299565,Very High Need,86.8,EFC,1289,3923,751,58.26,76,274,21.26,91.7,3797,96.79,81.3,86.7,83,San Gabriel Valley,1,Monterey Park, ,Monterey Park,Monterey Park,Incorporated City,1133276.43359375,4410.11372491455
814,06037265301,0.618081,Excluded,,Excluded,0,12957,0,0,,0,0,,0,0,,,,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,2338905.4609375,7428.71460922132
815,06037232120,0.203117,Very High Need,93.5,EFC,1473,5457,908,61.64,81.7,270,18.33,88.2,5430,99.51,95.8,87.5,94,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,767342.58203125,3583.10540223039
816,06037402703,0.411161,Moderate Need,47.3,Non-EFC,1305,5533,537,41.15,45.8,53,4.06,34.3,5028,90.87,64.2,39.2,55.3,San Gabriel Valley,1,Pomona, ,Pomona,Pomona,Incorporated City,1556147.44921875,6900.40020149196
817,06037531000,0.384778,High Need,77.6,EFC,1273,5129,700,54.99,71.2,100,7.86,58.9,5047,98.4,88.7,68.4,84.4,Central Los Angeles,1, ,East Los Angeles,East Los Angeles,East Los Angeles,Unincorporated Area,1455025.26953125,5706.80699058361
818,06037203800,0.187842,Very High Need,92.8,EFC,1266,4803,775,61.22,81.1,218,17.22,86.5,4776,99.44,95.2,86.6,93.5,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,710387.96484375,3473.73209779498
819,06037195710,0.186243,High Need,65.5,EFC,1701,4588,793,46.62,56.5,267,15.7,83.8,3813,83.11,50.6,73.9,53.8,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,704829.07421875,3591.79954398348
820,06037135113,0.24768,Low Need,22.3,Non-EFC,1306,3138,375,28.71,20.5,71,5.44,44.6,1545,49.24,22,30.1,17.7,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,939672.73828125,4814.07865102458
821,06037462001,0.197685,High Need,62.2,EFC,1245,4524,547,43.94,51.4,123,9.88,68.1,4085,90.3,63,63,57.8,Arroyo Verdugo,5,Pasadena, ,Pasadena,Pasadena,Incorporated City,749686.98828125,3988.95450808622
822,06037132501,0.271921,Moderate Need,51.5,Non-EFC,1209,4553,598,49.46,61.5,62,5.13,42.5,3182,69.89,38.2,53.3,48.8,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1032039.40625,4061.28402225199
823,06037218702,0.138575,Very High Need,88.6,EFC,868,2232,614,70.74,93.7,94,10.83,71.7,2091,93.68,71.5,85.4,87.1,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,523926.18359375,3781.12329721532
824,06037186202,0.160527,Low Need,35,Non-EFC,657,1920,244,37.14,37.8,28,4.26,35.6,1435,74.74,41.3,35.2,37.4,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,608154.54296875,3888.39198698005
825,06037571400,0.74444,Low Need,23.1,Non-EFC,1684,4761,505,29.99,23.7,55,3.27,28,3249,68.24,36.6,22.1,27.4,Gateway Cities,4,Lakewood, ,Lakewood,Lakewood,Incorporated City,2801706.6328125,9000.2410452935
826,06037603703,0.250066,Very Low Need,18.8,Non-EFC,829,2368,257,31,25.3,4,0.48,3.7,1770,74.75,41.4,10.9,30.7,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,942480.39453125,3947.75168780782
827,06037543503,0.649028,Moderate Need,53.6,Non-EFC,1937,5889,769,39.7,42.7,201,10.38,69.7,5076,86.19,55.5,58.6,47.5,South Bay,2, ,West Carson,West Carson,West Carson,Unincorporated Area,2442361.04296875,7393.47863799711
828,06037552400,0.358757,Moderate Need,54.5,Non-EFC,554,2339,227,40.97,45.4,39,7.04,54,2156,92.18,67.6,50.6,56.9,Gateway Cities,4,Norwalk, ,Norwalk,Norwalk,Incorporated City,1352157.2421875,5701.19014077567
829,06037601001,0.344331,Very High Need,86.5,EFC,1122,2554,642,57.22,74.8,224,19.96,90.1,2490,97.49,84.6,85.2,84,South Bay,2,Inglewood, ,Inglewood,Inglewood,Incorporated City,1299755.234375,5165.74844399352
830,06037552200,0.652757,Very High Need,83.4,EFC,1621,5804,981,60.52,80.1,222,13.7,80,5423,93.44,70.8,82.7,79.5,Gateway Cities,4,Norwalk, ,Norwalk,Norwalk,Incorporated City,2460800.1875,8187.86760734068
831,06037576402,0.125361,Very High Need,86.3,EFC,1335,4805,873,65.39,87.3,198,14.83,82.3,4420,91.99,67.2,87.4,81.4,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,471171.46875,2913.7181843058
832,06037195600,0.204916,High Need,65.2,EFC,1264,2775,665,52.61,67.2,169,13.37,79,1876,67.6,36.1,76.5,50.7,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,775607.2890625,4050.0664631761
833,06037910501,0.578388,Very High Need,93.3,EFC,1902,5078,1583,83.23,99.1,329,17.3,86.7,4631,91.2,64.9,94.7,86.5,North Los Angeles County,5,Palmdale, ,Palmdale,Palmdale,Incorporated City,2215176.78515625,6201.66707930761
834,06037403404,0.91474,Low Need,23.8,Non-EFC,699,2443,205,29.33,22.4,9,1.29,11.1,2156,88.25,58.9,12.8,38.7,San Gabriel Valley,1,Walnut, ,Walnut,Walnut,Incorporated City,3458056.84375,9021.63106791113
835,06037204600,0.224392,Very High Need,95.6,EFC,1144,4271,826,72.2,95.1,221,19.32,89.4,4103,96.07,78.7,94.3,92,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,848457.5078125,4508.65224069501
836,06037621001,0.365373,Very Low Need,18.4,Non-EFC,1900,4426,413,21.74,9.8,185,9.74,67.7,1144,25.85,5,37.4,3.8,South Bay,2,Hermosa Beach, ,Hermosa Beach,Hermosa Beach,Incorporated City,1376156.4375,5885.4163737373
837,06037554512,1.48063,Very Low Need,15.3,Non-EFC,2118,6336,476,22.47,10.7,14,0.66,4.9,5559,87.74,57.8,4.1,31.7,Gateway Cities,4,Cerritos, ,Cerritos,Cerritos,Incorporated City,5577605.484375,9739.33830542939
838,06037120108,0.148987,High Need,77.7,EFC,1407,4592,935,66.45,88.7,86,6.11,48.7,4173,90.88,64.3,72.4,80.7,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,565915.7578125,3116.45873406898
839,06037402804,0.508414,High Need,72.3,EFC,954,4280,564,59.12,77.9,37,3.88,32.9,4174,97.52,84.8,57.4,85.9,San Gabriel Valley,1,Pomona, ,Pomona,Pomona,Incorporated City,1922889.7265625,5946.29787881513
840,06037602105,0.245444,High Need,74.6,EFC,1266,3634,734,57.98,75.6,133,10.51,70.3,3280,90.26,62.9,76.5,71.8,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,925530.41796875,3847.93682790483
841,06037503104,0.213035,Moderate Need,48.5,Non-EFC,664,2652,295,44.43,52.8,10,1.51,12.7,2528,95.32,76.2,30.5,66.6,Gateway Cities,4, ,South Whittier - Sunshine Acres,South Whittier - Sunshine Acres,South Whittier,Unincorporated Area,803321.4296875,4017.3916334204
842,06037239801,0.143102,Very High Need,92.9,EFC,940,3761,580,61.7,81.8,154,16.38,84.9,3744,99.55,96.1,86.1,94.2,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,540190.8046875,3659.62920391347
843,06037430901,0.449304,Moderate Need,57.6,Non-EFC,1520,4377,626,41.18,45.9,256,16.84,85.8,3454,78.91,45.7,69,44,San Gabriel Valley,5,Monrovia, ,Monrovia,Monrovia,Incorporated City,1703042.08984375,5502.18187039794
844,06037111401,0.325829,Very Low Need,2.5,Non-EFC,681,2353,92,13.51,2.1,0,0,0,1184,50.32,22.8,0.2,8.5,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1238284.484375,4558.72902992876
845,06037224701,0.0917226,High Need,78.3,EFC,264,2880,166,62.88,83.7,151,57.2,99.6,1911,66.35,35.1,93.8,60.4,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,346747.48046875,2786.21619478306
846,06037214903,0.0525815,Moderate Need,53.7,Non-EFC,1223,1657,618,50.53,63.4,159,13,78,443,26.74,5.6,74.2,32.1,Central Los Angeles,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,198990.1953125,1946.26797892725
847,06037980012,0.355207,Excluded,,Excluded,0,30,0,0,,0,0,,0,0,,,,Gateway Cities,4,Downey, ,Downey,Downey,Incorporated City,1339599.5078125,5543.0244253951
848,06037910608,0.543109,High Need,62.2,EFC,988,3498,537,54.35,69.8,51,5.16,42.8,2936,83.93,51.9,58.8,62,North Los Angeles County,5,Palmdale, ,Palmdale,Palmdale,Incorporated City,2079310.8125,6530.24158089237
